product_name,brands,quantity,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,monounsaturated-fat_100g,omega-9-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,soluble-fiber_100g,insoluble-fiber_100g,fiber_100g,proteins_100g,serum-proteins_100g,salt_100g,added-salt_100g,net_weight_g,high_sugar,high_salt
white bread,mr. bread,350,879.0,-1.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,3.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,0.31,-1.0,350,False,False
kacang dua kelinci,dua kelincii,180,2510.0,-1.0,48.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,0.0,-1.0,-1.0,-1.0,12.0,32.0,-1.0,1.35,-1.0,180,False,False
kacang garing,dua kelinci,13,2580.0,-1.0,46.2,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.4,0.0,-1.0,-1.0,-1.0,-1.0,30.8,-1.0,0.538,-1.0,13,False,False
fruit cologne lemon,uw health,4,513.0,-1.0,6.81,4.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.6,-1.0,-1.0,-1.0,-1.0,1.05,2.09,-1.0,-1.0,-1.0,177,False,False
fanta,the coca cola company,1,83.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.8,4.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01,-1.0,177,False,False
japanese green tea,pokka,300,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.02,-1.0,177,False,False
protein bread,mestemacher,1,1170.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.0,2.0,-1.0,-1.0,-1.0,2.0,10.0,-1.0,1.1,-1.0,177,False,False
herb candy,herb candy,12,1793.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,71.428571428571,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,177,True,False
indomie rasa kari ayam,indomie rasa kari ayam,72,0.0,-1.0,20.8,11.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.7,2.78,-1.0,-1.0,-1.0,2.78,9.72,-1.0,1650.0,-1.0,72,False,True
indomie soto mie,indomie,70,1791.0,-1.0,14.2,7.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,5.7,-1.0,-1.0,-1.0,2.8,10.0,-1.0,1.3,-1.0,70,False,False
indomie kari ayam,indomie,72,1.92,-1.0,19.4,9.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.72,2.78,-1.0,-1.0,-1.0,4.17,9.72,-1.0,1.69,-1.0,72,False,True
